# core width data from Keski-Rahkonen and Krause (1974)
# Z  Symbol  Edge  Core Width(eV)
 70    Yb    L3      4.3474
 70    Yb    M1      16.4286
 70    Yb    M2      11.5836
 70    Yb    M3      10.8266
 70    Yb    M4      2.5198
 70    Yb    M5      1.6148
 70    Yb    N1      13.5091
 70    Yb    N2      13.0000
 70    Yb    N3      13.0000
 70    Yb    N4      8.0000
 70    Yb    N5      8.0000
 70    Yb    N6      0.0010
 70    Yb    N7      0.0010
 70    Yb    O1      0.1000
 70    Yb    O2      0.1000
 70    Yb    O3      0.1000
 71    Lu     K      37.4095
 71    Lu    L1      6.9960
 71    Lu    L2      5.1927
 71    Lu    L3      4.4427
 71    Lu    M1      16.9154
 71    Lu    M2      11.8869
 71    Lu    M3      10.7410
 71    Lu    M4      2.7216
 71    Lu    M5      1.7002
 71    Lu    N1      13.7397
 71    Lu    N2      13.0000
 71    Lu    N3      13.0000
 71    Lu    N4      8.0000
 71    Lu    N5      8.0000
 71    Lu    N6      0.0010
 71    Lu    N7      0.0010
 71    Lu    O1      0.1000
 71    Lu    O2      0.1000
 71    Lu    O3      0.1000
 72    Hf     K      39.4256
 72    Hf    L1      7.2345
 72    Hf    L2      5.3054
 72    Hf    L3      4.5401
 72    Hf    M1      17.4166
 72    Hf    M2      12.1981
 72    Hf    M3      10.6560
 72    Hf    M4      2.9395
 72    Hf    M5      1.7901
 72    Hf    N1      13.9741
 72    Hf    N2      13.0000
 72    Hf    N3      13.0000
 72    Hf    N4      8.0000
 72    Hf    N5      8.0000
 72    Hf    N6      0.0071
 72    Hf    N7      0.0071
 72    Hf    O1      0.1000
 72    Hf    O2      0.1000
 72    Hf    O3      0.1000
 73    Ta     K      41.5504
 73    Ta    L1      7.4812
 73    Ta    L2      5.4206
 73    Ta    L3      4.6396
 73    Ta    M1      17.9327
 73    Ta    M2      12.5175
 73    Ta    M3      10.5717
 73    Ta    M4      3.1748
 73    Ta    M5      1.8848
 73    Ta    N1      14.2126
